exercicio1

mysql> SELECT * FROM DimCustomer;
+-------------+-----------+----------+------------------+------------+--------------+-------------------+
| CustomerKey | FirstName | LastName | EmailAddress     | BirthDate  | CustomerType | DateFirstPurchase |
+-------------+-----------+----------+------------------+------------+--------------+-------------------+
|           1 | João      | Silva    | joao@email.com   | 1990-05-10 | Person       | 2022-01-01        |
|           2 | Maria     | Oliveira | maria@email.com  | 1985-08-22 | Person       | 2023-03-15        |
|           3 | Carlos    | Souza    | carlos@email.com | 1979-11-03 | Company      | 2021-12-11        |
+-------------+-----------+----------+------------------+------------+--------------+-------------------+
3 rows in set (0.00 sec)

mysql> SELECT
    ->
    ->         CustomerType,
    ->
    ->         COUNT(*) Total_Clientes
    ->
    -> FROM DimCustomer
    ->
    -> GROUP BY CustomerType;
+--------------+----------------+
| CustomerType | Total_Clientes |
+--------------+----------------+
| Person       |              2 |
| Company      |              1 |
+--------------+----------------+
2 rows in set (0.00 sec)

exercicio2 

mysql> SELECT * FROM DimEmployee;
ERROR 1146 (42S02): Table 'contoso.dimemployee' doesn't exist
mysql> SELECT
    ->
    ->         DepartmentName,
    ->
    ->         COUNT(*) Total_Funcionarios
    ->
    -> FROM DimEmployee
    ->
    -> GROUP BY DepartmentName;
ERROR 1146 (42S02): Table 'contoso.dimemployee' doesn't exist
mysql>


exercicio3

mysql> SELECT * FROM DimProduct;
+------------+--------------+----------------+-------------------+
| ProductKey | ProductName  | BrandName      | Manufacturer      |
|        117 | Produto 117  | Marca Genérica | Fabricante Padrão |
|        118 | Produto 118  | Marca Genérica | Fabricante Padrão |
|        119 | Produto 119  | Marca Genérica | Fabricante Padrão |
|        120 | Produto 120  | Marca Genérica | Fabricante Padrão |
|        121 | Produto 121  | Marca Genérica | Fabricante Padrão |
|        122 | Produto 122  | Marca Genérica | Fabricante Padrão |
|        123 | Produto 123  | Marca Genérica | Fabricante Padrão |
|        124 | Produto 124  | Marca Genérica | Fabricante Padrão |
|        125 | Produto 125  | Marca Genérica | Fabricante Padrão |
|        126 | Produto 126  | Marca Genérica | Fabricante Padrão |
|        127 | Produto 127  | Marca Genérica | Fabricante Padrão |
|        128 | Produto 128  | Marca Genérica | Fabricante Padrão |
|        129 | Produto 129  | Marca Genérica | Fabricante Padrão |
|        130 | Produto 130  | Marca Genérica | Fabricante Padrão |
|        131 | Produto 131  | Marca Genérica | Fabricante Padrão |
|        132 | Produto 132  | Marca Genérica | Fabricante Padrão |
|        133 | Produto 133  | Marca Genérica | Fabricante Padrão |
|        134 | Produto 134  | Marca Genérica | Fabricante Padrão |
|        135 | Produto 135  | Marca Genérica | Fabricante Padrão |
|        136 | Produto 136  | Marca Genérica | Fabricante Padrão |
|        137 | Produto 137  | Marca Genérica | Fabricante Padrão |
|        138 | Produto 138  | Marca Genérica | Fabricante Padrão |
|        139 | Produto 139  | Marca Genérica | Fabricante Padrão |
|        140 | Produto 140  | Marca Genérica | Fabricante Padrão |
|        141 | Produto 141  | Marca Genérica | Fabricante Padrão |
|        142 | Produto 142  | Marca Genérica | Fabricante Padrão |
|        143 | Produto 143  | Marca Genérica | Fabricante Padrão |
|        144 | Produto 144  | Marca Genérica | Fabricante Padrão |
|        145 | Produto 145  | Marca Genérica | Fabricante Padrão |
|        146 | Produto 146  | Marca Genérica | Fabricante Padrão |
|        147 | Produto 147  | Marca Genérica | Fabricante Padrão |
|        148 | Produto 148  | Marca Genérica | Fabricante Padrão |
|        149 | Produto 149  | Marca Genérica | Fabricante Padrão |
|        150 | Produto 150  | Marca Genérica | Fabricante Padrão |
|        151 | Produto 151  | Marca Genérica | Fabricante Padrão |
|        152 | Produto 152  | Marca Genérica | Fabricante Padrão |
|        153 | Produto 153  | Marca Genérica | Fabricante Padrão |
|        154 | Produto 154  | Marca Genérica | Fabricante Padrão |
|        155 | Produto 155  | Marca Genérica | Fabricante Padrão |
|        156 | Produto 156  | Marca Genérica | Fabricante Padrão |
|        157 | Produto 157  | Marca Genérica | Fabricante Padrão |
|        158 | Produto 158  | Marca Genérica | Fabricante Padrão |
|        159 | Produto 159  | Marca Genérica | Fabricante Padrão |
|        160 | Produto 160  | Marca Genérica | Fabricante Padrão |
|        161 | Produto 161  | Marca Genérica | Fabricante Padrão |
|        162 | Produto 162  | Marca Genérica | Fabricante Padrão |
|        163 | Produto 163  | Marca Genérica | Fabricante Padrão |
|        164 | Produto 164  | Marca Genérica | Fabricante Padrão |
|        165 | Produto 165  | Marca Genérica | Fabricante Padrão |
|        166 | Produto 166  | Marca Genérica | Fabricante Padrão |
|        167 | Produto 167  | Marca Genérica | Fabricante Padrão |
|        168 | Produto 168  | Marca Genérica | Fabricante Padrão |
|        169 | Produto 169  | Marca Genérica | Fabricante Padrão |
|        170 | Produto 170  | Marca Genérica | Fabricante Padrão |
|        171 | Produto 171  | Marca Genérica | Fabricante Padrão |
|        172 | Produto 172  | Marca Genérica | Fabricante Padrão |
|        173 | Produto 173  | Marca Genérica | Fabricante Padrão |
|        174 | Produto 174  | Marca Genérica | Fabricante Padrão |
|        175 | Produto 175  | Marca Genérica | Fabricante Padrão |
|        176 | Produto 176  | Marca Genérica | Fabricante Padrão |
|        177 | Produto 177  | Marca Genérica | Fabricante Padrão |
|        178 | Produto 178  | Marca Genérica | Fabricante Padrão |
|        179 | Produto 179  | Marca Genérica | Fabricante Padrão |
|        180 | Produto 180  | Marca Genérica | Fabricante Padrão |
|        181 | Produto 181  | Marca Genérica | Fabricante Padrão |
|        182 | Produto 182  | Marca Genérica | Fabricante Padrão |
|        183 | Produto 183  | Marca Genérica | Fabricante Padrão |
|        184 | Produto 184  | Marca Genérica | Fabricante Padrão |
|        185 | Produto 185  | Marca Genérica | Fabricante Padrão |
|        186 | Produto 186  | Marca Genérica | Fabricante Padrão |
|        187 | Produto 187  | Marca Genérica | Fabricante Padrão |
|        188 | Produto 188  | Marca Genérica | Fabricante Padrão |
|        189 | Produto 189  | Marca Genérica | Fabricante Padrão |
|        190 | Produto 190  | Marca Genérica | Fabricante Padrão |
|        191 | Produto 191  | Marca Genérica | Fabricante Padrão |
|        192 | Produto 192  | Marca Genérica | Fabricante Padrão |
|        193 | Produto 193  | Marca Genérica | Fabricante Padrão |
|        194 | Produto 194  | Marca Genérica | Fabricante Padrão |
|        195 | Produto 195  | Marca Genérica | Fabricante Padrão |
|        196 | Produto 196  | Marca Genérica | Fabricante Padrão |
|        197 | Produto 197  | Marca Genérica | Fabricante Padrão |
|        198 | Produto 198  | Marca Genérica | Fabricante Padrão |
|        199 | Produto 199  | Marca Genérica | Fabricante Padrão |
|        200 | Produto 200  | Marca Genérica | Fabricante Padrão |
|        201 | Produto 201  | Marca Genérica | Fabricante Padrão |
|        202 | Produto 202  | Marca Genérica | Fabricante Padrão |
|        203 | Produto 203  | Marca Genérica | Fabricante Padrão |
|        204 | Produto 204  | Marca Genérica | Fabricante Padrão |
|        205 | Produto 205  | Marca Genérica | Fabricante Padrão |
|        206 | Produto 206  | Marca Genérica | Fabricante Padrão |
|        207 | Produto 207  | Marca Genérica | Fabricante Padrão |
|        208 | Produto 208  | Marca Genérica | Fabricante Padrão |
|        209 | Produto 209  | Marca Genérica | Fabricante Padrão |
|        210 | Produto 210  | Marca Genérica | Fabricante Padrão |
|        211 | Produto 211  | Marca Genérica | Fabricante Padrão |
|        212 | Produto 212  | Marca Genérica | Fabricante Padrão |
|        213 | Produto 213  | Marca Genérica | Fabricante Padrão |
|        214 | Produto 214  | Marca Genérica | Fabricante Padrão |
|        215 | Produto 215  | Marca Genérica | Fabricante Padrão |
|        216 | Produto 216  | Marca Genérica | Fabricante Padrão |
|        217 | Produto 217  | Marca Genérica | Fabricante Padrão |
|        218 | Produto 218  | Marca Genérica | Fabricante Padrão |
|        219 | Produto 219  | Marca Genérica | Fabricante Padrão |
|        220 | Produto 220  | Marca Genérica | Fabricante Padrão |
|        221 | Produto 221  | Marca Genérica | Fabricante Padrão |
|        222 | Produto 222  | Marca Genérica | Fabricante Padrão |
|        223 | Produto 223  | Marca Genérica | Fabricante Padrão |
|        224 | Produto 224  | Marca Genérica | Fabricante Padrão |
|        225 | Produto 225  | Marca Genérica | Fabricante Padrão |
|        226 | Produto 226  | Marca Genérica | Fabricante Padrão |
|        227 | Produto 227  | Marca Genérica | Fabricante Padrão |
|        228 | Produto 228  | Marca Genérica | Fabricante Padrão |
|        229 | Produto 229  | Marca Genérica | Fabricante Padrão |
|        230 | Produto 230  | Marca Genérica | Fabricante Padrão |
|        231 | Produto 231  | Marca Genérica | Fabricante Padrão |
|        232 | Produto 232  | Marca Genérica | Fabricante Padrão |
|        233 | Produto 233  | Marca Genérica | Fabricante Padrão |
|        234 | Produto 234  | Marca Genérica | Fabricante Padrão |
|        235 | Produto 235  | Marca Genérica | Fabricante Padrão |
|        236 | Produto 236  | Marca Genérica | Fabricante Padrão |
|        237 | Produto 237  | Marca Genérica | Fabricante Padrão |
|        238 | Produto 238  | Marca Genérica | Fabricante Padrão |
|        239 | Produto 239  | Marca Genérica | Fabricante Padrão |
|        240 | Produto 240  | Marca Genérica | Fabricante Padrão |
|        241 | Produto 241  | Marca Genérica | Fabricante Padrão |
|        242 | Produto 242  | Marca Genérica | Fabricante Padrão |
|        243 | Produto 243  | Marca Genérica | Fabricante Padrão |
|        244 | Produto 244  | Marca Genérica | Fabricante Padrão |
|        245 | Produto 245  | Marca Genérica | Fabricante Padrão |
|        246 | Produto 246  | Marca Genérica | Fabricante Padrão |
|        247 | Produto 247  | Marca Genérica | Fabricante Padrão |
|        248 | Produto 248  | Marca Genérica | Fabricante Padrão |
|        249 | Produto 249  | Marca Genérica | Fabricante Padrão |
|        250 | Produto 250  | Marca Genérica | Fabricante Padrão |
|        251 | Produto 251  | Marca Genérica | Fabricante Padrão |
|        252 | Produto 252  | Marca Genérica | Fabricante Padrão |
|        253 | Produto 253  | Marca Genérica | Fabricante Padrão |
|        254 | Produto 254  | Marca Genérica | Fabricante Padrão |
|        255 | Produto 255  | Marca Genérica | Fabricante Padrão |
|        256 | Produto 256  | Marca Genérica | Fabricante Padrão |
|        257 | Produto 257  | Marca Genérica | Fabricante Padrão |
|        258 | Produto 258  | Marca Genérica | Fabricante Padrão |
|        259 | Produto 259  | Marca Genérica | Fabricante Padrão |
|        260 | Produto 260  | Marca Genérica | Fabricante Padrão |
|        261 | Produto 261  | Marca Genérica | Fabricante Padrão |
|        262 | Produto 262  | Marca Genérica | Fabricante Padrão |
|        263 | Produto 263  | Marca Genérica | Fabricante Padrão |
|        264 | Produto 264  | Marca Genérica | Fabricante Padrão |
|        265 | Produto 265  | Marca Genérica | Fabricante Padrão |
|        266 | Produto 266  | Marca Genérica | Fabricante Padrão |
|        267 | Produto 267  | Marca Genérica | Fabricante Padrão |
|        268 | Produto 268  | Marca Genérica | Fabricante Padrão |
|        269 | Produto 269  | Marca Genérica | Fabricante Padrão |
|        270 | Produto 270  | Marca Genérica | Fabricante Padrão |
|        271 | Produto 271  | Marca Genérica | Fabricante Padrão |
|        272 | Produto 272  | Marca Genérica | Fabricante Padrão |
|        273 | Produto 273  | Marca Genérica | Fabricante Padrão |
|        274 | Produto 274  | Marca Genérica | Fabricante Padrão |
|        275 | Produto 275  | Marca Genérica | Fabricante Padrão |
|        276 | Produto 276  | Marca Genérica | Fabricante Padrão |
|        277 | Produto 277  | Marca Genérica | Fabricante Padrão |
|        278 | Produto 278  | Marca Genérica | Fabricante Padrão |
|        279 | Produto 279  | Marca Genérica | Fabricante Padrão |
|        280 | Produto 280  | Marca Genérica | Fabricante Padrão |
|        281 | Produto 281  | Marca Genérica | Fabricante Padrão |
|        282 | Produto 282  | Marca Genérica | Fabricante Padrão |
|        283 | Produto 283  | Marca Genérica | Fabricante Padrão |
|        284 | Produto 284  | Marca Genérica | Fabricante Padrão |
|        285 | Produto 285  | Marca Genérica | Fabricante Padrão |
|        286 | Produto 286  | Marca Genérica | Fabricante Padrão |
|        287 | Produto 287  | Marca Genérica | Fabricante Padrão |
|        288 | Produto 288  | Marca Genérica | Fabricante Padrão |
|        289 | Produto 289  | Marca Genérica | Fabricante Padrão |
|        290 | Produto 290  | Marca Genérica | Fabricante Padrão |
|        291 | Produto 291  | Marca Genérica | Fabricante Padrão |
|        292 | Produto 292  | Marca Genérica | Fabricante Padrão |
|        293 | Produto 293  | Marca Genérica | Fabricante Padrão |
|        294 | Produto 294  | Marca Genérica | Fabricante Padrão |
|        295 | Produto 295  | Marca Genérica | Fabricante Padrão |
|        296 | Produto 296  | Marca Genérica | Fabricante Padrão |
|        297 | Produto 297  | Marca Genérica | Fabricante Padrão |
|        298 | Produto 298  | Marca Genérica | Fabricante Padrão |
|        299 | Produto 299  | Marca Genérica | Fabricante Padrão |
|        300 | Produto 300  | Marca Genérica | Fabricante Padrão |
|        301 | Produto 301  | Marca Genérica | Fabricante Padrão |
|        302 | Produto 302  | Marca Genérica | Fabricante Padrão |
|        303 | Produto 303  | Marca Genérica | Fabricante Padrão |
|        304 | Produto 304  | Marca Genérica | Fabricante Padrão |
|        305 | Produto 305  | Marca Genérica | Fabricante Padrão |
|        306 | Produto 306  | Marca Genérica | Fabricante Padrão |
|        307 | Produto 307  | Marca Genérica | Fabricante Padrão |
|        308 | Produto 308  | Marca Genérica | Fabricante Padrão |
|        309 | Produto 309  | Marca Genérica | Fabricante Padrão |
|        310 | Produto 310  | Marca Genérica | Fabricante Padrão |
|        311 | Produto 311  | Marca Genérica | Fabricante Padrão |
|        312 | Produto 312  | Marca Genérica | Fabricante Padrão |
|        313 | Produto 313  | Marca Genérica | Fabricante Padrão |
|        314 | Produto 314  | Marca Genérica | Fabricante Padrão |
|        315 | Produto 315  | Marca Genérica | Fabricante Padrão |
|        316 | Produto 316  | Marca Genérica | Fabricante Padrão |
|        317 | Produto 317  | Marca Genérica | Fabricante Padrão |
|        318 | Produto 318  | Marca Genérica | Fabricante Padrão |
|        319 | Produto 319  | Marca Genérica | Fabricante Padrão |
|        320 | Produto 320  | Marca Genérica | Fabricante Padrão |
|        321 | Produto 321  | Marca Genérica | Fabricante Padrão |
|        322 | Produto 322  | Marca Genérica | Fabricante Padrão |
|        323 | Produto 323  | Marca Genérica | Fabricante Padrão |
|        324 | Produto 324  | Marca Genérica | Fabricante Padrão |
|        325 | Produto 325  | Marca Genérica | Fabricante Padrão |
|        326 | Produto 326  | Marca Genérica | Fabricante Padrão |
|        327 | Produto 327  | Marca Genérica | Fabricante Padrão |
|        328 | Produto 328  | Marca Genérica | Fabricante Padrão |
|        329 | Produto 329  | Marca Genérica | Fabricante Padrão |
|        330 | Produto 330  | Marca Genérica | Fabricante Padrão |
|        331 | Produto 331  | Marca Genérica | Fabricante Padrão |
|        332 | Produto 332  | Marca Genérica | Fabricante Padrão |
|        333 | Produto 333  | Marca Genérica | Fabricante Padrão |
|        334 | Produto 334  | Marca Genérica | Fabricante Padrão |
|        335 | Produto 335  | Marca Genérica | Fabricante Padrão |
|        336 | Produto 336  | Marca Genérica | Fabricante Padrão |
|        337 | Produto 337  | Marca Genérica | Fabricante Padrão |
|        338 | Produto 338  | Marca Genérica | Fabricante Padrão |
|        339 | Produto 339  | Marca Genérica | Fabricante Padrão |
|        340 | Produto 340  | Marca Genérica | Fabricante Padrão |
|        341 | Produto 341  | Marca Genérica | Fabricante Padrão |
|        342 | Produto 342  | Marca Genérica | Fabricante Padrão |
|        343 | Produto 343  | Marca Genérica | Fabricante Padrão |
|        344 | Produto 344  | Marca Genérica | Fabricante Padrão |
|        345 | Produto 345  | Marca Genérica | Fabricante Padrão |
|        346 | Produto 346  | Marca Genérica | Fabricante Padrão |
|        347 | Produto 347  | Marca Genérica | Fabricante Padrão |
|        348 | Produto 348  | Marca Genérica | Fabricante Padrão |
|        349 | Produto 349  | Marca Genérica | Fabricante Padrão |
|        350 | Produto 350  | Marca Genérica | Fabricante Padrão |
|        351 | Produto 351  | Marca Genérica | Fabricante Padrão |
|        352 | Produto 352  | Marca Genérica | Fabricante Padrão |
|        353 | Produto 353  | Marca Genérica | Fabricante Padrão |
|        354 | Produto 354  | Marca Genérica | Fabricante Padrão |
|        355 | Produto 355  | Marca Genérica | Fabricante Padrão |
|        356 | Produto 356  | Marca Genérica | Fabricante Padrão |
|        357 | Produto 357  | Marca Genérica | Fabricante Padrão |
|        358 | Produto 358  | Marca Genérica | Fabricante Padrão |
|        359 | Produto 359  | Marca Genérica | Fabricante Padrão |
|        360 | Produto 360  | Marca Genérica | Fabricante Padrão |
|        361 | Produto 361  | Marca Genérica | Fabricante Padrão |
|        362 | Produto 362  | Marca Genérica | Fabricante Padrão |
|        363 | Produto 363  | Marca Genérica | Fabricante Padrão |
|        364 | Produto 364  | Marca Genérica | Fabricante Padrão |
|        365 | Produto 365  | Marca Genérica | Fabricante Padrão |
|        366 | Produto 366  | Marca Genérica | Fabricante Padrão |
|        367 | Produto 367  | Marca Genérica | Fabricante Padrão |
|        368 | Produto 368  | Marca Genérica | Fabricante Padrão |
|        369 | Produto 369  | Marca Genérica | Fabricante Padrão |
|        370 | Produto 370  | Marca Genérica | Fabricante Padrão |
|        371 | Produto 371  | Marca Genérica | Fabricante Padrão |
|        372 | Produto 372  | Marca Genérica | Fabricante Padrão |
|        373 | Produto 373  | Marca Genérica | Fabricante Padrão |
|        374 | Produto 374  | Marca Genérica | Fabricante Padrão |
|        375 | Produto 375  | Marca Genérica | Fabricante Padrão |
|        376 | Produto 376  | Marca Genérica | Fabricante Padrão |
|        377 | Produto 377  | Marca Genérica | Fabricante Padrão |
|        378 | Produto 378  | Marca Genérica | Fabricante Padrão |
|        379 | Produto 379  | Marca Genérica | Fabricante Padrão |
|        380 | Produto 380  | Marca Genérica | Fabricante Padrão |
|        381 | Produto 381  | Marca Genérica | Fabricante Padrão |
|        382 | Produto 382  | Marca Genérica | Fabricante Padrão |
|        383 | Produto 383  | Marca Genérica | Fabricante Padrão |
|        384 | Produto 384  | Marca Genérica | Fabricante Padrão |
|        385 | Produto 385  | Marca Genérica | Fabricante Padrão |
|        386 | Produto 386  | Marca Genérica | Fabricante Padrão |
|        387 | Produto 387  | Marca Genérica | Fabricante Padrão |
|        388 | Produto 388  | Marca Genérica | Fabricante Padrão |
|        389 | Produto 389  | Marca Genérica | Fabricante Padrão |
|        390 | Produto 390  | Marca Genérica | Fabricante Padrão |
|        391 | Produto 391  | Marca Genérica | Fabricante Padrão |
|        392 | Produto 392  | Marca Genérica | Fabricante Padrão |
|        393 | Produto 393  | Marca Genérica | Fabricante Padrão |
|        394 | Produto 394  | Marca Genérica | Fabricante Padrão |
|        395 | Produto 395  | Marca Genérica | Fabricante Padrão |
|        396 | Produto 396  | Marca Genérica | Fabricante Padrão |
|        397 | Produto 397  | Marca Genérica | Fabricante Padrão |
|        398 | Produto 398  | Marca Genérica | Fabricante Padrão |
|        399 | Produto 399  | Marca Genérica | Fabricante Padrão |
|        400 | Produto 400  | Marca Genérica | Fabricante Padrão |
|        401 | Produto 401  | Marca Genérica | Fabricante Padrão |
|        402 | Produto 402  | Marca Genérica | Fabricante Padrão |
|        403 | Produto 403  | Marca Genérica | Fabricante Padrão |
